score_d,comment_d,score_a,comment_a,channel,num_segments,dataset_name,dataset_id,station_id,outlier,label,median_score_clf_[0],median_score_clf_[1],median_score_clf_[2],median_score_clf_[3],median_score_clf_[4],median_score_clf_[5],median_score_clf_[6],median_score_clf_[7]
,,,,C1.MG05..BH?,755,me,2,1954,False,unlabeled (Me unknown),0.500216732917,0.489143722351,0.475782117574,,,,,
,,,,AK.CAPN..BH?,1801,me,2,1478,False,unlabeled (Me unknown),0.499847104127,0.492905415226,0.475902022623,,,,,
,,,,PS.OGS..BH?,223,me,2,3177,False,unlabeled (Me unknown),0.499352828356,0.491108482304,,,,,,
,,,,II.BORG.00.BH?,294,me,2,2464,False,unlabeled (Me unknown),0.498127080901,0.494308714408,0.47765539172,,,,,
,,,,MI.HTSP..BH?,1127,me,2,2872,False,unlabeled (Me unknown),0.498910146964,0.489691046306,,,,,,
,,,,C1.VA04..BH?,809,me,2,1977,False,unlabeled (Me unknown),0.498814939618,0.486073572164,,,,,,
,,,,KG.TJN..BH?,1787,me,2,2736,False,unlabeled (Me unknown),0.498757546925,0.487501848929,,,,,,
,,,,C.GO09..BH?,1112,me,2,1900,False,unlabeled (Me unknown),0.498655556885,0.490244552736,,,,,,
,,,,C1.MG01..BH?,1077,me,2,1950,False,unlabeled (Me unknown),0.498127080901,0.485172688434,,,,,,
,,,,AI.ORCD.04.BH?,998,me,2,1460,False,unlabeled (Me unknown),0.498122884735,0.484564960772,,,,,,
,,,,G.ROCAM.00.BH?,203,me,2,1325,False,ok,0.49784109681,0.485309517477,,,,,,
,,,,II.CMLA.00.BH?,126,me,2,529,False,ok,0.497664659678,0.485751765364,,,,,,
,,,,MC.OLV1..BH?,668,me,2,2862,False,unlabeled (Me unknown),0.497622552242,0.485275713864,,,,,,
,,,,MI.ANSW..BH?,531,me,2,2868,False,unlabeled (Me unknown),0.497488222545,0.484193010939,,,,,,
,,,,HA.SNT1..HH?,12,s2s_2019_03,1,3559,False,ok,0.497338860968,0.482963416694,,,,,,
,,,,II.SHEL.00.BH?,180,me,2,2510,False,unlabeled (Me unknown),0.49723273246,0.483832904918,,,,,,
,,,,AV.LVA..BH?,979,me,2,1738,False,unlabeled (Me unknown),0.497229018518,0.483644649103,,,,,,
,,,,AF.BLWY..BH?,136,me,2,1415,False,unlabeled (Me unknown),0.49718949939,0.486810246095,,,,,,
,,,,AI.JUBA.04.BH?,1424,me,2,1459,False,unlabeled (Me unknown),0.49718949939,0.481539795154,,,,,,
,,,,II.CMLA.10.BH?,136,me,2,530,False,ok,0.496991345591,0.485185494493,,,,,,
,,,,II.SHEL.10.BH?,346,me,2,2511,False,unlabeled (Me unknown),0.496991345591,0.480422555813,,,,,,
,,,,CX.PB18..BL?,67,sod_chile,3,21,False,ok,0.496860827217,0.481533900165,,,,,,
,,,,IU.GUMO.10.BH?,139,me,2,2604,False,ok,0.496716355449,0.483881301134,,,,,,
,,,,C1.LL05..BH?,937,me,2,1944,False,unlabeled (Me unknown),0.496716355449,0.481545690142,,,,,,
,,,,S1.AUTAR..BH?,1325,me,2,3258,True,outl. (wrong inv),0.496517171158,0.481057131393,0.471136074643,0.454544725651,0.444994049597,0.450737093886,0.44551498636,0.454436532213
,,,,IU.ANTO.00.BH?,2222,me,2,544,False,unlabeled (Me unknown),0.496457735259,,,,,,,
,,,,OO.AXBA1..BH?,1527,me,2,3010,False,unlabeled (Me unknown),0.495845752087,0.4793325923,,,,,,
,,,,AU.MOO..BH?,2480,me,2,1615,False,unlabeled (Me unknown),0.495714711076,0.480555395689,,,,,,
,,,,AT.MID..BH?,2415,me,2,1568,False,unlabeled (Me unknown),0.495606539378,0.479340103966,,,,,,
,,,,MI.FLX..BH?,1826,me,2,2870,False,unlabeled (Me unknown),0.495606539378,0.480555395689,,,,,,
,,,,AV.WEBT..BH?,936,me,2,1780,False,unlabeled (Me unknown),0.495239565802,0.477834732876,,,,,,
,,,,G.FUTU.00.BH?,982,me,2,1310,False,unlabeled (Me unknown),0.494993630752,0.4793325923,,,,,,
,,,,AK.FIRE..BH?,1647,me,2,1498,False,unlabeled (Me unknown),0.493113471001,0.478252066514,,,,,,
,,,,AT.AKUT..BH?,2135,me,2,1564,False,unlabeled (Me unknown),0.493113471001,0.478875203648,,,,,,
,,,,IV.PTRJ..BH?,49,me,2,168,False,unlabeled (Me unknown),0.491124143351,0.475158010176,,,,,,
,,,,IU.SFJD.10.BH?,2421,me,2,560,False,unlabeled (Me unknown),0.491124143351,,,,,,,
,,,,IV.CAFR..HH?,138,s2s_2019_03,1,4305,False,ok,0.490347508746,,,,,,,
,,,,BN.LPW..BH?,31,me,2,464,False,unlabeled (Me unknown),0.489945369332,0.48036535114,,,,,,
,,,,IU.KNTN.00.BH?,53,me,2,2623,False,unlabeled (Me unknown),0.489945369332,0.478879980755,,,,,,
,,,,IU.GUMO.00.BH?,48,me,2,2603,False,ok,0.489407618554,0.476193644034,,,,,,
,,,,II.COCO.00.BH?,644,me,2,2468,False,unlabeled (Me unknown),0.489381063159,,,,,,,
,,,,S1.AUBUS..BH?,305,me,2,3220,False,unlabeled (Me unknown),0.489381063159,0.47733759694,,,,,,
,,,,AU.MGBR.00.BH?,106,me,2,1612,False,unlabeled (Me unknown),0.489154007112,0.477137142603,,,,,,
,,,,EE.ARBE..BH?,3200,me,2,751,False,unlabeled (Me unknown),0.48896820717,,,,,,,
,,,,DK.ISOG..BH?,1030,me,2,2354,False,unlabeled (Me unknown),0.48896820717,,,,,,,
,,,,AU.FITZ..BH?,493,me,2,1588,False,unlabeled (Me unknown),0.486662172906,,,,,,,
,,,,IV.FIAM..BH?,193,me,2,79,False,unlabeled (Me unknown),0.485669393931,,,,,,,
,,,,XW.W04.00.BH?,2,s2s_2019_03,1,2426,False,ok,0.48505644737,0.475706356422,,,,,,
,,,,IV.NOVE..EH?,38,s2s_2019_03,1,4725,False,ok,0.484946488154,,,,,,,
,,,,KO.YEDI..BH?,2078,me,2,437,False,unlabeled (Me unknown),0.484900547746,,,,,,,
,,,,IV.BRMO..HH?,64,s2s_2019_03,1,4287,False,ok,0.484374168131,,,,,,,
,,,,KO.KCTX..HH?,191,s2s_2019_03,1,5628,False,ok,0.484356781861,,,,,,,
,,,,XW.W12.00.HH?,16,s2s_2019_03,1,2443,False,ok,0.483107088952,,,,,,,
,,,,II.DGAR.00.BH?,249,me,2,2470,False,unlabeled (Me unknown),0.482538373296,0.478879980755,,,,,,
,,,,II.DGAR.10.BH?,1010,me,2,2471,False,unlabeled (Me unknown),0.482538373296,0.47579742638,,,,,,
,,,,II.EFI.10.BH?,634,me,2,2473,False,unlabeled (Me unknown),0.482538373296,,,,,,,
,,,,IU.AFI.00.BH?,472,me,2,2576,False,unlabeled (Me unknown),0.482212115228,,,,,,,
,,,,AK.KAI..BH?,1109,me,2,1514,False,unlabeled (Me unknown),0.48188585716,,,,,,,
,,,,AV.CLES..BH?,867,me,2,1709,False,unlabeled (Me unknown),0.48188585716,,,,,,,
,,,,PN.PPUHS..BH?,2,me,2,3119,False,unlabeled (Me unknown),0.48188585716,,,,,,,
,,,,AV.OKCE..BH?,1101,me,2,1746,False,unlabeled (Me unknown),0.481447222214,,,,,,,
,,,,IU.AFI.10.BH?,119,me,2,2577,False,ok,0.48124920715,,,,,,,
,,,,IU.PMSA.00.BH?,103,me,2,2651,False,ok,0.48124920715,,,,,,,
,,,,EE.MTSE..BH?,3175,me,2,752,False,unlabeled (Me unknown),0.48124920715,,,,,,,
,,,,AV.AKLV..BH?,1316,me,2,1688,False,unlabeled (Me unknown),0.48124920715,,,,,,,
,,,,DK.NRS..BH?,916,me,2,2358,False,unlabeled (Me unknown),0.48124920715,,,,,,,
,,,,MI.ANA2..BH?,689,me,2,2865,False,unlabeled (Me unknown),0.48124920715,0.477000430871,,,,,,
,,,,AV.AKV..BH?,708,me,2,1693,False,unlabeled (Me unknown),0.481086988144,,,,,,,
,,,,GB.LBWR..BH?,1754,me,2,512,False,unlabeled (Me unknown),0.480924769138,,,,,,,
,,,,IU.QSPA.60.BH?,1945,me,2,2657,False,unlabeled (Me unknown),0.480924769138,,,,,,,
,,,,II.COCO.10.BH?,67,me,2,2469,False,ok,0.480807997189,,,,,,,
,,,,DK.NRS..BH?,2781,me,2,744,False,unlabeled (Me unknown),0.480807997189,,,,,,,
,,,,DK.ICESG.00.BH?,1178,me,2,2353,False,unlabeled (Me unknown),0.480807997189,,,,,,,
,,,,II.EFI.00.BH?,369,me,2,2472,False,unlabeled (Me unknown),0.480807997189,,,,,,,
,,,,MN.RTC..BH?,909,me,2,2893,False,unlabeled (Me unknown),0.480807997189,,,,,,,
,,,,AV.SSLN..BH?,274,me,2,1775,False,unlabeled (Me unknown),0.480327169952,,,,,,,
,,,,NR.NE103..BH?,831,me,2,614,False,unlabeled (Me unknown),0.480101968224,,,,,,,
,,,,ND.PINNC.00.BH?,1957,me,2,1340,False,unlabeled (Me unknown),0.480101968224,,,,,,,
