gfz2017vhqv|2017-10-31T00:42:09|-21.64|169.21|11|||||Mw|6.8|geofon|
gfz2017twrg|2017-10-10T18:53:34|-54.54|8.61|22|||||Mw|6.7|geofon|
gfz2017skgl|2017-09-19T18:14:38|18.56|-98.49|50|||||Mw|7.1|geofon|
gfz2017rpdi|2017-09-08T04:49:18|15.00|-93.77|73|||||Mw|8.0|geofon|
gfz2017qcqd|2017-08-18T02:59:22|-1.12|-13.71|21|||||Mw|6.5|geofon|
gfz2017odde|2017-07-20T22:31:12|36.93|27.47|11|||||Mw|6.6|geofon|
gfz2017nxst|2017-07-17T23:34:15|54.58|168.91|18|||||Mw|7.7|geofon|
gfz2017nlmy|2017-07-11T07:00:08|-49.27|164.25|25|||||Mw|6.5|geofon|
gfz2017ncln|2017-07-06T08:03:57|11.10|124.69|10|||||Mw|6.5|geofon|
gfz2017mdfh|2017-06-22T12:31:04|13.82|-90.86|36|||||Mw|6.8|geofon|
gfz2017ktkv|2017-06-02T22:24:48|54.11|170.84|18|||||Mw|6.7|geofon|
gfz2017klni|2017-05-29T14:35:23|-1.28|120.46|12|||||Mw|6.5|geofon|
gfz2017jdmg|2017-05-10T23:23:36|-56.52|-26.02|20|||||Mw|6.5|geofon|
gfz2017ihif|2017-04-28T20:23:19|5.52|125.18|35|||||Mw|6.8|geofon|
gfz2017iacr|2017-04-24T21:38:30|-33.02|-71.89|22|||||Mw|6.8|geofon|
gfz2017gnlg|2017-04-03T17:40:17|-22.66|25.22|27|||||Mw|6.5|geofon|
gfz2017gdgz|2017-03-29T04:09:24|56.89|162.59|21|||||Mw|6.6|geofon|
gfz2017biqs|2017-01-19T23:04:16|-10.30|161.23|43|||||Mw|6.5|geofon|
gfz2017afih|2017-01-03T21:52:30|-19.30|175.85|17|||||Mw|6.9|geofon|
gfz2016zhab|2016-12-25T14:22:27|-43.38|-73.75|32|||||Mw|7.6|geofon|
gfz2016ysib|2016-12-17T13:22:34|-6.37|154.47|45|||||Mw|6.7|geofon|
gfz2016yedm|2016-12-09T19:10:06|-10.67|161.15|10|||||Mw|6.9|geofon|
gfz2016ycnm|2016-12-08T21:56:07|-10.85|161.35|17|||||Mw|6.5|geofon|
gfz2016ycez|2016-12-08T17:38:47|-10.67|161.32|43|||||Mw|7.7|geofon|
gfz2016ybzk|2016-12-08T14:49:47|40.42|-126.32|19|||||Mw|6.6|geofon|
gfz2016xyws|2016-12-06T22:03:33|5.28|96.13|12|||||Mw|6.5|geofon|
gfz2016xefa|2016-11-25T14:24:30|39.22|73.97|18|||||Mw|6.6|geofon|
gfz2016xcsc|2016-11-24T18:43:47|11.94|-88.89|11|||||Mw|6.9|geofon|
gfz2016wxkb|2016-11-21T20:59:51|37.32|141.35|18|||||Mw|6.9|geofon|
gfz2016wiai|2016-11-13T11:02:57|-42.73|173.25|10|||||Mw|7.8|geofon|
gfz2016vicq|2016-10-30T06:40:19|42.92|13.14|10|||||Mw|6.5|geofon|
gfz2016ukig|2016-10-17T06:14:59|-6.00|148.73|54|||||Mw|6.7|geofon|
gfz2016rfbr|2016-09-01T16:38:01|-37.16|178.55|31|||||Mw|7.0|geofon|
gfz2016qyrd|2016-08-29T04:29:58|-0.06|-17.78|17|||||Mw|7.0|geofon|
gfz2016qgqd|2016-08-19T07:32:23|-55.37|-31.99|20|||||Mw|7.4|geofon|
gfz2016ptjo|2016-08-12T01:26:35|-22.53|172.98|15|||||Mw|7.1|geofon|
gfz2016kldv|2016-05-28T09:47:00|-56.26|-27.02|75|||||Mw|7.1|geofon|
gfz2016jtkq|2016-05-18T16:46:43|0.44|-79.70|22|||||Mw|6.8|geofon|
gfz2016jste|2016-05-18T07:57:00|0.45|-79.79|21|||||Mw|6.6|geofon|
gfz2016ijny|2016-04-29T01:33:37|10.16|-103.86|23|||||Mw|6.6|geofon|
gfz2016ijcb|2016-04-28T19:33:25|-16.05|167.41|30|||||Mw|7.0|geofon|
gfz2016hnmu|2016-04-16T23:58:36|0.42|-79.87|27|||||Mw|7.7|geofon|
gfz2016hlci|2016-04-15T16:25:09|32.71|130.81|19|||||Mw|6.9|geofon|
gfz2016gvmv|2016-04-07T03:32:52|-13.81|166.63|31|||||Mw|6.6|geofon|
gfz2016gtyc|2016-04-06T06:58:49|-14.15|166.73|34|||||Mw|6.7|geofon|
gfz2016gook|2016-04-03T08:23:53|-14.25|166.85|34|||||Mw|6.8|geofon|
gfz2016eilc|2016-03-02T12:49:46|-4.97|94.26|27|||||Mw|7.7|geofon|
gfz2016blxx|2016-01-21T18:06:58|18.79|-107.02|14|||||Mw|6.5|geofon|
